City,State, Median Sale Price 
GREELEY,CO,"$282,500.00 "
LEAGUE CITY,TX,"$248,375.00 "
LAKEWOOD,NJ,"$233,158.33 "
MISSION VIEJO,CA,"$694,241.67 "
HIGH POINT,NC,"$138,816.67 "
ANDERSON,SC,"$134,391.67 "
LIVERMORE,CA,"$772,558.33 "
SPRING HILL,FL,"$153,133.33 "
SANDY,UT,"$389,891.67 "
FEDERAL WAY,WA,"$350,683.33 "
SOUTH GATE,CA,"$430,758.33 "
PORTSMOUTH,VA,"$148,083.33 "
GREECE,NY,"$128,350.00 "
DEARBORN,MI,"$136,966.67 "
HAWTHORNE,CA,"$639,166.67 "
JOHNSON CITY,TN,"$146,725.00 "
IDAHO FALLS,ID,"$189,850.00 "
WOODSTOCK,GA,"$238,358.33 "
LIVONIA,MI,"$185,650.00 "
BROCKTON,MA,"$278,650.00 "
ASHEVILLE,NC,"$278,541.67 "
MIDLOTHIAN,VA,"$272,483.33 "
INDIO,CA,"$314,266.67 "
ANNAPOLIS,MD,"$392,808.33 "
NEW BRAUNFELS,TX,"$249,033.33 "
ASHBURN,VA,"$466,491.67 "
STERLING,VA,"$409,925.00 "
AUBURN,WA,"$367,641.67 "
VALDOSTA,GA,"$130,775.00 "
APOPKA,FL,"$240,408.33 "
KENNEWICK,WA,"$262,408.33 "
MEDFORD,OR,"$275,666.67 "
KALAMAZOO,MI,"$104,683.33 "
PLANTATION,FL,"$289,791.67 "
PLAINFIELD,IL,"$240,041.67 "
NEW BEDFORD,MA,"$216,466.67 "
WESTMINSTER,CA,"$651,216.67 "
LOVELAND,CO,"$340,750.00 "
FORT SMITH,AR,"$112,750.00 "
KENOSHA,WI,"$152,500.00 "
ROSWELL,GA,"$363,866.67 "
MONROE,LA,"$141,283.33 "
OREM,UT,"$285,091.67 "
MIAMI BEACH,FL,"$320,516.67 "
DULUTH,MN,"$175,958.33 "
SUNRISE,FL,"$192,216.67 "
LYNN,MA,"$324,633.33 "
HOLLAND,MI,"$183,000.00 "
CLEVELAND,TN,"$155,900.00 "
WILLIAMSBURG,VA,"$299,866.67 "
LEES SUMMIT,MO,"$230,858.33 "
NEWNAN,GA,"$195,433.33 "
MENIFEE,CA,"$354,016.67 "
SAN MARCOS,CA,"$580,416.67 "
ACWORTH,GA,"$221,375.00 "
CANTON,MI,"$250,366.67 "
HERNDON,VA,"$490,200.00 "
QUEEN CREEK,AZ,"$252,575.00 "
COVINGTON,GA,"$146,208.33 "
CARMEL,IN,"$333,516.67 "
HAMILTON,NJ,"$199,025.00 "
TONAWANDA,NY,"$139,391.67 "
BOTHELL,WA,"$581,166.67 "
NEWTON,MA,"$964,875.00 "
WARNER ROBINS,GA,"$120,383.33 "
FLAGSTAFF,AZ,"$366,633.33 "
CHINO,CA,"$492,758.33 "
FORT PIERCE,FL,"$144,983.33 "
REDWOOD CITY,CA,"$1,456,066.67 "
LAFAYETTE,IN,"$131,658.33 "
LEESBURG,VA,"$477,033.33 "
PITTSBURG,CA,"$426,691.67 "
GEORGETOWN,TX,"$285,491.67 "
FALL RIVER,MA,"$224,858.33 "
DULUTH,GA,"$226,391.67 "
PARKER,CO,"$467,083.33 "
NEWPORT BEACH,CA,"$2,045,316.67 "
ARDEN-ARCADE,CA,"$331,300.00 "
SUFFOLK,VA,"$234,991.67 "
BLOOMINGTON,IL,"$167,775.00 "
TUSTIN,CA,"$667,291.67 "
CITRUS HEIGHTS,CA,"$318,658.33 "
GLEN BURNIE,MD,"$247,000.00 "
WAUKEGAN,IL,"$128,700.00 "
BOWIE,MD,"$327,008.33 "
WALNUT CREEK,CA,"$696,833.33 "
FAYETTEVILLE,AR,"$206,450.00 "
BLOOMINGTON,MN,"$252,700.00 "
SIOUX CITY,IA,"$124,325.00 "
DALLAS,GA,"$177,333.33 "
BUENA PARK,CA,"$567,333.33 "
LONGMONT,CO,"$388,975.00 "
ALHAMBRA,CA,"$629,563.64 "
TRENTON,NJ,"$45,291.67 "
CLIFTON,NJ,"$335,558.33 "
GERMANTOWN,MD,"$284,916.67 "
JACKSON,TN,"$128,844.44 "
TOMS RIVER,NJ,"$265,575.00 "
LYNNWOOD,WA,"$459,388.89 "
CICERO,IL,"$169,625.00 "
ELLICOTT CITY,MD,"$488,366.67 "
SUMTER,SC,"$127,208.33 "
CONWAY,AR,"$154,350.00 "
BATTLE CREEK,MI,"$99,816.67 "
HUNTINGTON,NY,"$484,633.33 "
SPOKANE VALLEY,WA,"$224,525.00 "
DANBURY,CT,"$268,333.33 "
NORWALK,CT,"$407,083.33 "
WATSONVILLE,CA,"$595,908.33 "
SPRINGFIELD,OH,"$86,291.67 "
HOUMA,LA,"$148,275.00 "
LARGO,FL,"$179,941.67 "
GRESHAM,OR,"$335,291.67 "
BRANDON,FL,"$196,291.67 "
TROY,MI,"$281,016.67 "
PANAMA CITY,FL,"$195,025.00 "
KINGSPORT,TN,"$130,150.00 "
SANFORD,FL,"$193,091.67 "
PALM COAST,FL,"$209,800.00 "
QUINCY,MA,"$420,091.67 "
WESTLAND,MI,"$129,466.67 "
JOHNS CREEK,GA,"$380,675.00 "
